Account,RBC Royal Bank Operating Account 4471,Currency,TTD
Date,Description,Debit,Credit,Balance
2025-09-01,Opening balance,,,1198430.12
2025-09-03,Massy Stores Trinidad Ltd - settlement,,412880.00,1611310.12
2025-09-05,Standing order - loan repayment,48500.00,,1562810.12
2025-09-05,Monthly transfer - facility lease Chaguanas,32000.00,,1530810.12
2025-09-09,Fruit intake - smallholder payments,286440.00,,1244370.12
2025-09-12,Standing order - maintenance services,9500.00,,1234870.12
2025-09-18,Regional supermarket group - export invoice,,318220.00,1553090.12
2025-09-24,Payroll,214480.00,,1338610.12
2025-09-30,Closing balance,,,1339612.44
